Skip number of rows: 61
Time used: 69,09 seconds

Problem instance parameters: 
Problem size = 3
Time windows = false
Maximum duration = 3
Best known sailing cost = 250069
Minimum number of installations = 1
Length of planning period = 7
Load factor = 1,2
Total charter cost of fleet = 2800000
Maximum number of installations = 8
Dataset sheet = 3
Minimum duration = 2

Heuristic parameters: 
Max iterations without improvement = 10000
Number of installations violation penalty = 1
Fitness evaluation protocol = standard
Initial population heuristic = aimed
Reference proportion of feasible individuals = 0,2
Survivor selection protocol = standard
Diversification protocol = standard
Repair protocol = standard
Gap from best known solution = 0
Capacity constraint violation penalty = 1
Proportion of elite individuals = 0,4
Education rate = 1
Iterations before diversify = 4000
Genotype to phenotype converter protocol = standard
Education protocol = standard
Proportion of individuals considered for distance evaluation = 0,2
Reproduction protocol = standard
Population size = 25
Parent selection protocol = binary tournament
Number of offspring in a generation = 50
Granularity threshold in RI = 0,4
Duration constraint violation penalty = 1
Repair rate = 0,5

Number of iterations: 14104
Diversifaction happened at iterations: [4000, 8104, 12104]
Number of crossover restarts: 1186
Number of construction heuristic restarts: 364

Penalized cost: 250069,64
Gap from BKS: 0,00
Day: 0 - vessel 1: [2, 3, 1] cost: 72689,14 dur: 35,74 cap: 68,20, vessel 2: -
Day: 1 - vessel 1: -, vessel 2: -
Day: 2 - vessel 1: [1, 3] cost: 52401,43 dur: 25,37 cap: 43,40, vessel 2: -
Day: 3 - vessel 1: -, vessel 2: [1, 2] cost: 52289,93 dur: 25,57 cap: 43,40
Day: 4 - vessel 1: -, vessel 2: -
Day: 5 - vessel 1: -, vessel 2: [1, 3, 2] cost: 72689,14 dur: 35,74 cap: 68,20
Day: 6 - vessel 1: -, vessel 2: -

Chartered fleet:
Name: PSV_1, number: 1, capacity: 600, speed: 10, unit fuel cost: 7129, fuel consumption sailing: 0.34, fuel consumption depot: 0.045, fuel consumption installation: 0.17, time charter cost: 200000, number of days available: 7
Name: PSV_2, number: 2, capacity: 600, speed: 10, unit fuel cost: 7129, fuel consumption sailing: 0.34, fuel consumption depot: 0.045, fuel consumption installation: 0.17, time charter cost: 200000, number of days available: 7

Gen.	# feasible solutions	# infeasible solutions	cap. penality	dur. penality	num. penality	best penalized cost	best feasible cost	best cap. violation	best dur. violation	best num. violation	avg cap. violation	avg dur. violation	avg num. violation	gap from BKS	best visits pr voyage	avg visits pr voyage
30	0.00	30.00	0.85	1.20	0.85	243633.58	0.00	0.00	3.45	0.00	0.00	3.45	0.00	0.00	2.50	2.50
31	0.00	31.00	0.85	1.20	0.85	243633.58	0.00	0.00	3.45	0.00	0.00	3.45	0.00	0.00	2.50	2.50
32	0.00	32.00	0.85	1.20	0.85	243633.58	0.00	0.00	3.45	0.00	0.00	3.45	0.00	0.00	2.50	2.50
33	0.00	33.00	0.85	1.20	0.85	243633.58	0.00	0.00	3.45	0.00	0.00	3.45	0.00	0.00	2.50	2.50
34	0.00	34.00	0.85	1.20	0.85	243633.58	0.00	0.00	3.45	0.00	0.00	3.45	0.00	0.00	2.50	2.50
35	0.00	35.00	0.85	1.20	0.85	243633.58	0.00	0.00	3.45	0.00	0.00	3.45	0.00	0.00	2.50	2.50
36	0.00	36.00	0.85	1.20	0.85	243633.58	0.00	0.00	3.45	0.00	0.00	3.45	0.00	0.00	2.50	2.50
37	0.00	37.00	0.85	1.20	0.85	243633.58	0.00	0.00	3.45	0.00	0.00	3.45	0.00	0.00	2.50	2.50
38	0.00	38.00	0.85	1.20	0.85	243633.58	0.00	0.00	3.45	0.00	0.00	3.45	0.00	0.00	2.50	2.50
39	0.00	39.00	0.85	1.20	0.85	243633.58	0.00	0.00	3.45	0.00	0.00	3.45	0.00	0.00	2.50	2.50
40	0.00	40.00	0.85	1.20	0.85	243633.58	0.00	0.00	3.45	0.00	0.00	3.45	0.00	0.00	2.50	2.50
41	0.00	41.00	0.85	1.20	0.85	243633.58	0.00	0.00	3.45	0.00	0.00	3.45	0.00	0.00	2.50	2.50
42	0.00	42.00	0.85	1.20	0.85	243633.58	0.00	0.00	3.45	0.00	0.00	3.45	0.00	0.00	2.50	2.50
43	0.00	43.00	0.85	1.20	0.85	243633.58	0.00	0.00	3.45	0.00	0.00	3.45	0.00	0.00	2.50	2.50
44	0.00	44.00	0.85	1.20	0.85	243633.58	0.00	0.00	3.45	0.00	0.00	3.45	0.00	0.00	2.50	2.50
45	0.00	45.00	0.85	1.20	0.85	243633.58	0.00	0.00	3.45	0.00	0.00	3.45	0.00	0.00	2.50	2.50
46	0.00	46.00	0.85	1.20	0.85	243633.58	0.00	0.00	3.45	0.00	0.00	3.45	0.00	0.00	2.50	2.50
47	0.00	47.00	0.85	1.20	0.85	243633.58	0.00	0.00	3.45	0.00	0.00	3.45	0.00	0.00	2.50	2.50
48	0.00	48.00	0.85	1.20	0.85	243633.58	0.00	0.00	3.45	0.00	0.00	3.45	0.00	0.00	2.50	2.50
49	0.00	49.00	0.85	1.20	0.85	243633.58	0.00	0.00	3.45	0.00	0.00	3.45	0.00	0.00	2.50	2.50
50	0.00	50.00	0.85	1.20	0.85	243633.58	0.00	0.00	3.45	0.00	0.00	3.45	0.00	0.00	2.50	2.50
51	0.00	51.00	0.85	1.20	0.85	243633.58	0.00	0.00	3.45	0.00	0.00	3.45	0.00	0.00	2.50	2.50
52	0.00	52.00	0.85	1.20	0.85	243633.58	0.00	0.00	3.45	0.00	0.00	3.45	0.00	0.00	2.50	2.50
53	0.00	53.00	0.85	1.20	0.85	243633.58	0.00	0.00	3.45	0.00	0.00	3.45	0.00	0.00	2.50	2.50
54	0.00	54.00	0.85	1.20	0.85	243633.58	0.00	0.00	3.45	0.00	0.00	3.45	0.00	0.00	2.50	2.50
55	0.00	55.00	0.85	1.20	0.85	243633.58	0.00	0.00	3.45	0.00	0.00	3.45	0.00	0.00	2.50	2.50
56	0.00	56.00	0.85	1.20	0.85	243633.58	0.00	0.00	3.45	0.00	0.00	3.45	0.00	0.00	2.50	2.50
57	0.00	57.00	0.85	1.20	0.85	243633.58	0.00	0.00	3.45	0.00	0.00	3.45	0.00	0.00	2.50	2.50
58	0.00	58.00	0.85	1.20	0.85	243633.58	0.00	0.00	3.45	0.00	0.00	3.45	0.00	0.00	2.50	2.50
59	0.00	59.00	0.85	1.20	0.85	243633.58	0.00	0.00	3.45	0.00	0.00	3.45	0.00	0.00	2.50	2.50
60	0.00	60.00	0.85	1.20	0.85	243633.58	0.00	0.00	3.45	0.00	0.00	3.45	0.00	0.00	2.50	2.50
61	0.00	61.00	0.85	1.20	0.85	243633.58	0.00	0.00	3.45	0.00	0.00	3.45	0.00	0.00	2.50	2.50
62	0.00	62.00	0.85	1.20	0.85	243633.58	0.00	0.00	3.45	0.00	0.00	3.45	0.00	0.00	2.50	2.50
63	0.00	63.00	0.85	1.20	0.85	243633.58	0.00	0.00	3.45	0.00	0.00	3.45	0.00	0.00	2.50	2.50
64	0.00	64.00	0.85	1.20	0.85	243633.58	0.00	0.00	3.45	0.00	0.00	3.45	0.00	0.00	2.50	2.50
65	0.00	65.00	0.85	1.20	0.85	243633.58	0.00	0.00	3.45	0.00	0.00	3.45	0.00	0.00	2.50	2.50
66	0.00	66.00	0.85	1.20	0.85	243633.58	0.00	0.00	3.45	0.00	0.00	3.45	0.00	0.00	2.50	2.50
67	0.00	67.00	0.85	1.20	0.85	243633.58	0.00	0.00	3.45	0.00	0.00	3.45	0.00	0.00	2.50	2.50
68	0.00	68.00	0.85	1.20	0.85	243633.58	0.00	0.00	3.45	0.00	0.00	3.45	0.00	0.00	2.50	2.50
69	0.00	69.00	0.85	1.20	0.85	243633.58	0.00	0.00	3.45	0.00	0.00	3.45	0.00	0.00	2.50	2.50
70	0.00	70.00	0.85	1.20	0.85	243633.58	0.00	0.00	3.45	0.00	0.00	3.45	0.00	0.00	2.50	2.50
71	0.00	71.00	0.85	1.20	0.85	243633.58	0.00	0.00	3.45	0.00	0.00	3.45	0.00	0.00	2.50	2.50
72	0.00	72.00	0.85	1.20	0.85	243633.58	0.00	0.00	3.45	0.00	0.00	3.45	0.00	0.00	2.50	2.50
73	0.00	73.00	0.85	1.20	0.85	243633.58	0.00	0.00	3.45	0.00	0.00	3.45	0.00	0.00	2.50	2.50
74	0.00	74.00	0.85	1.20	0.85	243633.58	0.00	0.00	3.45	0.00	0.00	3.45	0.00	0.00	2.50	2.50
75	0.00	25.00	0.85	1.20	0.85	243633.58	0.00	0.00	3.45	0.00	0.00	3.45	0.00	0.00	2.50	2.50
76	0.00	26.00	0.85	1.20	0.85	243633.58	0.00	0.00	3.45	0.00	0.00	3.45	0.00	0.00	2.50	2.50
77	0.00	27.00	0.85	1.20	0.85	243633.58	0.00	0.00	3.45	0.00	0.00	3.45	0.00	0.00	2.50	2.50
78	0.00	28.00	0.85	1.20	0.85	243633.58	0.00	0.00	3.45	0.00	0.00	3.45	0.00	0.00	2.50	2.50
79	0.00	29.00	0.85	1.20	0.85	243633.58	0.00	0.00	3.45	0.00	0.00	3.45	0.00	0.00	2.50	2.50
80	0.00	30.00	0.85	1.20	0.85	243633.58	0.00	0.00	3.45	0.00	0.00	3.45	0.00	0.00	2.50	2.50
81	0.00	31.00	0.85	1.20	0.85	243633.58	0.00	0.00	3.45	0.00	0.00	3.45	0.00	0.00	2.50	2.50
82	0.00	32.00	0.85	1.20	0.85	243633.58	0.00	0.00	3.45	0.00	0.00	3.45	0.00	0.00	2.50	2.50
83	0.00	33.00	0.85	1.20	0.85	243633.58	0.00	0.00	3.45	0.00	0.00	3.45	0.00	0.00	2.50	2.50
84	0.00	34.00	0.85	1.20	0.85	243633.58	0.00	0.00	3.45	0.00	0.00	3.45	0.00	0.00	2.50	2.50
85	0.00	35.00	0.85	1.20	0.85	243633.58	0.00	0.00	3.45	0.00	0.00	3.45	0.00	0.00	2.50	2.50
86	0.00	36.00	0.85	1.20	0.85	243633.58	0.00	0.00	3.45	0.00	0.00	3.45	0.00	0.00	2.50	2.50
87	0.00	37.00	0.85	1.20	0.85	243633.58	0.00	0.00	3.45	0.00	0.00	3.45	0.00	0.00	2.50	2.50
88	0.00	38.00	0.85	1.20	0.85	243633.58	0.00	0.00	3.45	0.00	0.00	3.45	0.00	0.00	2.50	2.50
89	0.00	39.00	0.85	1.20	0.85	243633.58	0.00	0.00	3.45	0.00	0.00	3.45	0.00	0.00	2.50	2.50
90	0.00	40.00	0.85	1.20	0.85	243633.58	0.00	0.00	3.45	0.00	0.00	3.45	0.00	0.00	2.50	2.50
91	0.00	41.00	0.85	1.20	0.85	243633.58	0.00	0.00	3.45	0.00	0.00	3.45	0.00	0.00	2.50	2.50
92	0.00	42.00	0.85	1.20	0.85	243633.58	0.00	0.00	3.45	0.00	0.00	3.45	0.00	0.00	2.50	2.50
93	0.00	43.00	0.85	1.20	0.85	243633.58	0.00	0.00	3.45	0.00	0.00	3.45	0.00	0.00	2.50	2.50
94	0.00	44.00	0.85	1.20	0.85	243633.58	0.00	0.00	3.45	0.00	0.00	3.45	0.00	0.00	2.50	2.50
95	0.00	45.00	0.85	1.20	0.85	243633.58	0.00	0.00	3.45	0.00	0.00	3.45	0.00	0.00	2.50	2.50
96	0.00	46.00	0.85	1.20	0.85	243633.58	0.00	0.00	3.45	0.00	0.00	3.45	0.00	0.00	2.50	2.50
97	0.00	47.00	0.85	1.20	0.85	243633.58	0.00	0.00	3.45	0.00	0.00	3.45	0.00	0.00	2.50	2.50
98	0.00	48.00	0.85	1.20	0.85	243633.58	0.00	0.00	3.45	0.00	0.00	3.45	0.00	0.00	2.50	2.50
99	0.00	49.00	0.85	1.20	0.85	243633.58	0.00	0.00	3.45	0.00	0.00	3.45	0.00	0.00	2.50	2.50
100	0.00	50.00	0.85	1.20	0.85	243633.58	0.00	0.00	3.45	0.00	0.00	3.45	0.00	0.00	2.50	2.50
101	0.00	51.00	0.72	1.44	0.72	243634.41	0.00	0.00	3.45	0.00	0.00	3.45	0.00	0.00	2.50	2.50
102	0.00	52.00	0.72	1.44	0.72	243634.41	0.00	0.00	3.45	0.00	0.00	3.45	0.00	0.00	2.50	2.50
103	0.00	53.00	0.72	1.44	0.72	243634.41	0.00	0.00	3.45	0.00	0.00	3.45	0.00	0.00	2.50	2.50
104	0.00	54.00	0.72	1.44	0.72	243634.41	0.00	0.00	3.45	0.00	0.00	3.45	0.00	0.00	2.50	2.50
105	0.00	55.00	0.72	1.44	0.72	243634.41	0.00	0.00	3.45	0.00	0.00	3.45	0.00	0.00	2.50	2.50
106	0.00	56.00	0.72	1.44	0.72	243634.41	0.00	0.00	3.45	0.00	0.00	3.45	0.00	0.00	2.50	2.50
107	0.00	57.00	0.72	1.44	0.72	243634.41	0.00	0.00	3.45	0.00	0.00	3.45	0.00	0.00	2.50	2.50
108	0.00	58.00	0.72	1.44	0.72	243634.41	0.00	0.00	3.45	0.00	0.00	3.45	0.00	0.00	2.50	2.50
109	0.00	59.00	0.72	1.44	0.72	243634.41	0.00	0.00	3.45	0.00	0.00	3.45	0.00	0.00	2.50	2.50
110	0.00	60.00	0.72	1.44	0.72	243634.41	0.00	0.00	3.45	0.00	0.00	3.45	0.00	0.00	2.50	2.50
111	0.00	61.00	0.72	1.44	0.72	243634.41	0.00	0.00	3.45	0.00	0.00	3.45	0.00	0.00	2.50	2.50
112	0.00	62.00	0.72	1.44	0.72	243634.41	0.00	0.00	3.45	0.00	0.00	3.45	0.00	0.00	2.50	2.50
113	0.00	63.00	0.72	1.44	0.72	243634.41	0.00	0.00	3.45	0.00	0.00	3.45	0.00	0.00	2.50	2.50
114	0.00	64.00	0.72	1.44	0.72	243634.41	0.00	0.00	3.45	0.00	0.00	3.45	0.00	0.00	2.50	2.50
115	0.00	65.00	0.72	1.44	0.72	243634.41	0.00	0.00	3.45	0.00	0.00	3.45	0.00	0.00	2.50	2.50
116	0.00	66.00	0.72	1.44	0.72	243634.41	0.00	0.00	3.45	0.00	0.00	3.45	0.00	0.00	2.50	2.50
117	0.00	67.00	0.72	1.44	0.72	243634.41	0.00	0.00	3.45	0.00	0.00	3.45	0.00	0.00	2.50	2.50
118	0.00	68.00	0.72	1.44	0.72	243634.41	0.00	0.00	3.45	0.00	0.00	3.45	0.00	0.00	2.50	2.50
119	0.00	69.00	0.72	1.44	0.72	243634.41	0.00	0.00	3.45	0.00	0.00	3.45	0.00	0.00	2.50	2.50
120	0.00	70.00	0.72	1.44	0.72	243634.41	0.00	0.00	3.45	0.00	0.00	3.45	0.00	0.00	2.50	2.50
121	0.00	71.00	0.72	1.44	0.72	243634.41	0.00	0.00	3.45	0.00	0.00	3.45	0.00	0.00	2.50	2.50
122	0.00	72.00	0.72	1.44	0.72	243634.41	0.00	0.00	3.45	0.00	0.00	3.45	0.00	0.00	2.50	2.50
123	0.00	73.00	0.72	1.44	0.72	243634.41	0.00	0.00	3.45	0.00	0.00	3.45	0.00	0.00	2.50	2.50
124	0.00	74.00	0.72	1.44	0.72	243634.41	0.00	0.00	3.45	0.00	0.00	3.45	0.00	0.00	2.50	2.50
125	0.00	25.00	0.72	1.44	0.72	243634.41	0.00	0.00	3.45	0.00	0.00	3.45	0.00	0.00	2.50	2.50
126	0.00	26.00	0.72	1.44	0.72	243634.41	0.00	0.00	3.45	0.00	0.00	3.45	0.00	0.00	2.50	2.50
127	0.00	27.00	0.72	1.44	0.72	243634.41	0.00	0.00	3.45	0.00	0.00	3.45	0.00	0.00	2.50	2.50
128	0.00	28.00	0.72	1.44	0.72	243634.41	0.00	0.00	3.45	0.00	0.00	3.45	0.00	0.00	2.50	2.50
129	0.00	29.00	0.72	1.44	0.72	243634.41	0.00	0.00	3.45	0.00	0.00	3.45	0.00	0.00	2.50	2.50
130	0.00	30.00	0.72	1.44	0.72	243634.41	0.00	0.00	3.45	0.00	0.00	3.45	0.00	0.00	2.50	2.50
131	0.00	31.00	0.72	1.44	0.72	243634.41	0.00	0.00	3.45	0.00	0.00	3.45	0.00	0.00	2.50	2.50
132	0.00	32.00	0.72	1.44	0.72	243634.41	0.00	0.00	3.45	0.00	0.00	3.45	0.00	0.00	2.50	2.50
133	0.00	33.00	0.72	1.44	0.72	243634.41	0.00	0.00	3.45	0.00	0.00	3.45	0.00	0.00	2.50	2.50
134	0.00	34.00	0.72	1.44	0.72	243634.41	0.00	0.00	3.45	0.00	0.00	3.45	0.00	0.00	2.50	2.50
135	0.00	35.00	0.72	1.44	0.72	243634.41	0.00	0.00	3.45	0.00	0.00	3.45	0.00	0.00	2.50	2.50
136	0.00	36.00	0.72	1.44	0.72	243634.41	0.00	0.00	3.45	0.00	0.00	3.45	0.00	0.00	2.50	2.50
137	0.00	37.00	0.72	1.44	0.72	243634.41	0.00	0.00	3.45	0.00	0.00	3.45	0.00	0.00	2.50	2.50
138	0.00	38.00	0.72	1.44	0.72	243634.41	0.00	0.00	3.45	0.00	0.00	3.45	0.00	0.00	2.50	2.50
139	0.00	39.00	0.72	1.44	0.72	243634.41	0.00	0.00	3.45	0.00	0.00	3.45	0.00	0.00	2.50	2.50
140	0.00	40.00	0.72	1.44	0.72	243634.41	0.00	0.00	3.45	0.00	0.00	3.45	0.00	0.00	2.50	2.50
141	0.00	41.00	0.72	1.44	0.72	243634.41	0.00	0.00	3.45	0.00	0.00	3.45	0.00	0.00	2.50	2.50
142	0.00	42.00	0.72	1.44	0.72	243634.41	0.00	0.00	3.45	0.00	0.00	3.45	0.00	0.00	2.50	2.50
143	0.00	43.00	0.72	1.44	0.72	243634.41	0.00	0.00	3.45	0.00	0.00	3.45	0.00	0.00	2.50	2.50
144	0.00	44.00	0.72	1.44	0.72	243634.41	0.00	0.00	3.45	0.00	0.00	3.45	0.00	0.00	2.50	2.50
145	0.00	45.00	0.72	1.44	0.72	243634.41	0.00	0.00	3.45	0.00	0.00	3.45	0.00	0.00	2.50	2.50
146	0.00	46.00	0.72	1.44	0.72	243634.41	0.00	0.00	3.45	0.00	0.00	3.45	0.00	0.00	2.50	2.50
147	0.00	47.00	0.72	1.44	0.72	243634.41	0.00	0.00	3.45	0.00	0.00	3.45	0.00	0.00	2.50	2.50
148	0.00	48.00	0.72	1.44	0.72	243634.41	0.00	0.00	3.45	0.00	0.00	3.45	0.00	0.00	2.50	2.50
149	0.00	49.00	0.72	1.44	0.72	243634.41	0.00	0.00	3.45	0.00	0.00	3.45	0.00	0.00	2.50	2.50
150	0.00	50.00	0.72	1.44	0.72	243634.41	0.00	0.00	3.45	0.00	0.00	3.45	0.00	0.00	2.50	2.50
151	0.00	51.00	0.72	1.44	0.72	243634.41	0.00	0.00	3.45	0.00	0.00	3.45	0.00	0.00	2.50	2.50
152	0.00	52.00	0.72	1.44	0.72	243634.41	0.00	0.00	3.45	0.00	0.00	3.45	0.00	0.00	2.50	2.50
153	0.00	53.00	0.72	1.44	0.72	243634.41	0.00	0.00	3.45	0.00	0.00	3.45	0.00	0.00	2.50	2.50
154	0.00	54.00	0.72	1.44	0.72	243634.41	0.00	0.00	3.45	0.00	0.00	3.45	0.00	0.00	2.50	2.50
155	0.00	55.00	0.72	1.44	0.72	243634.41	0.00	0.00	3.45	0.00	0.00	3.45	0.00	0.00	2.50	2.50
156	0.00	56.00	0.72	1.44	0.72	243634.41	0.00	0.00	3.45	0.00	0.00	3.45	0.00	0.00	2.50	2.50
157	0.00	57.00	0.72	1.44	0.72	243634.41	0.00	0.00	3.45	0.00	0.00	3.45	0.00	0.00	2.50	2.50
158	0.00	58.00	0.72	1.44	0.72	243634.41	0.00	0.00	3.45	0.00	0.00	3.45	0.00	0.00	2.50	2.50
159	0.00	59.00	0.72	1.44	0.72	243634.41	0.00	0.00	3.45	0.00	0.00	3.45	0.00	0.00	2.50	2.50
160	0.00	60.00	0.72	1.44	0.72	243634.41	0.00	0.00	3.45	0.00	0.00	3.45	0.00	0.00	2.50	2.50
161	0.00	61.00	0.72	1.44	0.72	243634.41	0.00	0.00	3.45	0.00	0.00	3.45	0.00	0.00	2.50	2.50
162	0.00	62.00	0.72	1.44	0.72	243634.41	0.00	0.00	3.45	0.00	0.00	3.45	0.00	0.00	2.50	2.50
163	0.00	63.00	0.72	1.44	0.72	243634.41	0.00	0.00	3.45	0.00	0.00	3.45	0.00	0.00	2.50	2.50
164	0.00	64.00	0.72	1.44	0.72	243634.41	0.00	0.00	3.45	0.00	0.00	3.45	0.00	0.00	2.50	2.50
165	0.00	65.00	0.72	1.44	0.72	243634.41	0.00	0.00	3.45	0.00	0.00	3.45	0.00	0.00	2.50	2.50
166	0.00	66.00	0.72	1.44	0.72	243634.41	0.00	0.00	3.45	0.00	0.00	3.45	0.00	0.00	2.50	2.50
167	0.00	67.00	0.72	1.44	0.72	243634.41	0.00	0.00	3.45	0.00	0.00	3.45	0.00	0.00	2.50	2.50
168	0.00	68.00	0.72	1.44	0.72	243634.41	0.00	0.00	3.45	0.00	0.00	3.45	0.00	0.00	2.50	2.50
169	0.00	69.00	0.72	1.44	0.72	243634.41	0.00	0.00	3.45	0.00	0.00	3.45	0.00	0.00	2.50	2.50
170	0.00	70.00	0.72	1.44	0.72	243634.41	0.00	0.00	3.45	0.00	0.00	3.45	0.00	0.00	2.50	2.50
171	0.00	71.00	0.72	1.44	0.72	243634.41	0.00	0.00	3.45	0.00	0.00	3.45	0.00	0.00	2.50	2.50
172	0.00	72.00	0.72	1.44	0.72	243634.41	0.00	0.00	3.45	0.00	0.00	3.45	0.00	0.00	2.50	2.50
